Kernel Type, Buffers, Queue Type, Unroll, ERT FLOPs, Elements per Bank, Data Type, Frequency (MHz)
swi,1,coalesced,1,2,0,signed_char,339
swi,1,coalesced,1,3008,0,signed_char,312
swi,1,coalesced,1,3024,0,signed_char,313
swi,1,coalesced,1,3028,0,signed_char,259
swi,1,coalesced,1,3030,0,float,318
swi,1,coalesced,1,3031,0,float,315
swi,1,coalesced,1,3032,0,float,293
swi,1,coalesced,1,3032,0,signed_char,308
swi,1,coalesced,1,3033,0,float,309
swi,1,coalesced,1,3036,0,signed_char,311
swi,1,coalesced,1,314,0,double,248
swi,1,coalesced,1,315,0,double,244
swi,1,coalesced,1,317,0,double,234
swi,1,coalesced,1,32,0,double,296
swi,1,coalesced,1,32,0,float,340
swi,1,coalesced,1,32,0,int,334
swi,1,coalesced,1,32,0,long,310
swi,1,coalesced,1,32,0,signed_char,338
swi,1,coalesced,1,420,0,long,251
swi,1,coalesced,1,425,0,long,235
swi,1,coalesced,1,426,0,long,229
swi,1,coalesced,1,428,0,long,285
swi,1,coalesced,1,4,0,double,292
swi,1,coalesced,1,4,0,float,341
swi,1,coalesced,1,4,0,int,336
swi,1,coalesced,1,4,0,long,315
swi,1,coalesced,1,4,0,signed_char,341
swi,1,coalesced,1,512,0,float,335
swi,1,coalesced,1,512,0,int,312
swi,1,coalesced,1,512,0,signed_char,339
swi,1,coalesced,16,128,0,float,306
swi,1,coalesced,16,128,0,signed_char,281
swi,1,coalesced,16,15,0,double,230
swi,1,coalesced,16,16,0,double,224
swi,1,coalesced,16,16,0,float,342
swi,1,coalesced,16,16,0,int,304
swi,1,coalesced,16,16,0,long,225
swi,1,coalesced,16,16,0,signed_char,341
swi,1,coalesced,16,186,0,float,283
swi,1,coalesced,16,187,0,float,296
swi,1,coalesced,16,1,0,float,332
swi,1,coalesced,16,1,0,int,333
swi,1,coalesced,16,1,0,long,296
swi,1,coalesced,16,1,0,signed_char,333
swi,1,coalesced,16,27,0,long,237
swi,1,coalesced,16,2,0,float,341
swi,1,coalesced,16,2,0,int,335
swi,1,coalesced,16,2,0,signed_char,317
swi,1,coalesced,16,32,0,float,317
swi,1,coalesced,16,32,0,int,281
swi,1,coalesced,16,32,0,signed_char,331
swi,1,coalesced,1,64,0,double,293
swi,1,coalesced,1,64,0,float,334
swi,1,coalesced,16,4,0,float,327
swi,1,coalesced,1,64,0,int,339
swi,1,coalesced,16,4,0,int,340
swi,1,coalesced,1,64,0,long,313
swi,1,coalesced,1,64,0,signed_char,336
swi,1,coalesced,16,4,0,signed_char,341
swi,1,coalesced,16,63,0,int,269
swi,1,coalesced,16,64,0,float,324
swi,1,coalesced,16,64,0,signed_char,312
swi,1,coalesced,16,8,0,float,324
swi,1,coalesced,16,8,0,int,310
swi,1,coalesced,16,8,0,signed_char,332
swi,1,coalesced,1,8,0,double,294
swi,1,coalesced,1,8,0,float,306
swi,1,coalesced,1,8,0,int,332
swi,1,coalesced,1,8,0,long,313
swi,1,coalesced,1,8,0,signed_char,340
swi,1,coalesced,2048,1,0,signed_char,213
swi,1,coalesced,2,1024,0,float,314
swi,1,coalesced,2,1024,0,signed_char,278
swi,1,coalesced,2,128,0,float,307
swi,1,coalesced,2,128,0,long,290
swi,1,coalesced,2,128,0,signed_char,340
swi,1,coalesced,2,1515,0,float,316
swi,1,coalesced,2,159,0,double,236
swi,1,coalesced,2,160,0,double,242
swi,1,coalesced,2,161,0,double,232
swi,1,coalesced,2,162,0,double,241
swi,1,coalesced,2,16,0,float,330
swi,1,coalesced,2,16,0,signed_char,335
swi,1,coalesced,2,1,0,float,340
swi,1,coalesced,2,1,0,int,315
swi,1,coalesced,2,1,0,long,336
swi,1,coalesced,2,1,0,signed_char,339
swi,1,coalesced,2,214,0,long,277
swi,1,coalesced,2,215,0,long,287
swi,1,coalesced,2,256,0,float,339
swi,1,coalesced,2,256,0,signed_char,327
swi,1,coalesced,2,2,0,float,336
swi,1,coalesced,2,2,0,signed_char,334
swi,1,coalesced,2,32,0,float,339
swi,1,coalesced,2,32,0,signed_char,329
swi,1,coalesced,24,1,0,float,244
swi,1,coalesced,2,4,0,float,332
swi,1,coalesced,2,4,0,signed_char,335
swi,1,coalesced,2,505,0,int,287
swi,1,coalesced,2,512,0,float,334
swi,1,coalesced,2,512,0,signed_char,318
swi,1,coalesced,256,1,0,double,183
